genome	length	short_reads_mapped	long_reads_mapped	short_read_median_coverage	long_read_median_coverage	names
NC_021790.1	39189	1342678	40726	8878	3633	CBA 18:1
NC_021796.1	72534	407747	14120	1203	526	CBA 38:1
KC821629.1	54012	251983	31455	1176	2171	CBA 38:2
KF302034.1	129439	3024882	91612	6148	2789	PSA HM1
KF302037.1	45035	4905790	147754	28813	12743	PSA HP1
KF302036.1	38208	1233901	45806	8467	4568	PSA HS2
