contig	file	gi_count	gi_length	genome_length	num_mapped_reads
GOV_bin_102_contig-100_4	GOV_bin_102_contig-100_4.windows.csv.gz	3	4972	12078	2182
GOV_bin_1042_contig-100_0	GOV_bin_1042_contig-100_0.windows.csv.gz	1	174	11647	7546
GOV_bin_1130_contig-100_1	GOV_bin_1130_contig-100_1.windows.csv.gz	6	3561	19059	2974
GOV_bin_1166_contig-100_0	GOV_bin_1166_contig-100_0.windows.csv.gz	3	1427	13418	965
GOV_bin_1166_contig-100_1	GOV_bin_1166_contig-100_1.windows.csv.gz	4	1307	10991	458
GOV_bin_1168_contig-100_2	GOV_bin_1168_contig-100_2.windows.csv.gz	3	6353	20788	8679
GOV_bin_1168_contig-100_5	GOV_bin_1168_contig-100_5.windows.csv.gz	4	912	13806	1061
GOV_bin_1178_contig-100_0	GOV_bin_1178_contig-100_0.windows.csv.gz	4	2070	12163	538
GOV_bin_1190_contig-100_4	GOV_bin_1190_contig-100_4.windows.csv.gz	1	271	11508	958
GOV_bin_1214_contig-100_3	GOV_bin_1214_contig-100_3.windows.csv.gz	0	0	11314	766
GOV_bin_1311_contig-100_0	GOV_bin_1311_contig-100_0.windows.csv.gz	1	471	12823	711
GOV_bin_1315_contig-100_1	GOV_bin_1315_contig-100_1.windows.csv.gz	1	214	12348	1991
GOV_bin_1315_contig-100_2	GOV_bin_1315_contig-100_2.windows.csv.gz	4	1667	11746	812
GOV_bin_1315_contig-100_3	GOV_bin_1315_contig-100_3.windows.csv.gz	2	1580	10218	782
GOV_bin_1339_contig-100_2	GOV_bin_1339_contig-100_2.windows.csv.gz	2	759	10077	3173
GOV_bin_1344_contig-100_1	GOV_bin_1344_contig-100_1.windows.csv.gz	1	561	10622	1459
GOV_bin_1356_contig-100_0	GOV_bin_1356_contig-100_0.windows.csv.gz	2	1741	12454	440
GOV_bin_1358_contig-100_0	GOV_bin_1358_contig-100_0.windows.csv.gz	9	6245	29121	3035
GOV_bin_1368_contig-100_0	GOV_bin_1368_contig-100_0.windows.csv.gz	10	10395	37042	8281
GOV_bin_1376_contig-100_2	GOV_bin_1376_contig-100_2.windows.csv.gz	5	4137	13284	1558
GOV_bin_1385_contig-100_1	GOV_bin_1385_contig-100_1.windows.csv.gz	4	2758	14452	921
GOV_bin_1411_contig-100_0	GOV_bin_1411_contig-100_0.windows.csv.gz	4	3044	29325	5057
GOV_bin_1411_contig-100_3	GOV_bin_1411_contig-100_3.windows.csv.gz	5	2776	11056	735
GOV_bin_1440_contig-100_0	GOV_bin_1440_contig-100_0.windows.csv.gz	12	5521	58695	1580
GOV_bin_1440_contig-100_2	GOV_bin_1440_contig-100_2.windows.csv.gz	1	370	18238	441
GOV_bin_1446_contig-100_19	GOV_bin_1446_contig-100_19.windows.csv.gz	4	2848	10214	432
GOV_bin_1452_contig-100_0	GOV_bin_1452_contig-100_0.windows.csv.gz	5	4250	21645	1056
GOV_bin_1452_contig-100_1	GOV_bin_1452_contig-100_1.windows.csv.gz	2	1294	12686	4987
GOV_bin_1459_contig-100_0	GOV_bin_1459_contig-100_0.windows.csv.gz	1	195	14929	1032
GOV_bin_1478_contig-100_1	GOV_bin_1478_contig-100_1.windows.csv.gz	3	1024	12777	501
GOV_bin_15_contig-100_13	GOV_bin_15_contig-100_13.windows.csv.gz	4	2424	10505	1798
GOV_bin_150_contig-100_6	GOV_bin_150_contig-100_6.windows.csv.gz	4	3097	11258	4548
GOV_bin_1504_contig-100_0	GOV_bin_1504_contig-100_0.windows.csv.gz	5	3187	20035	5752
GOV_bin_1505_contig-100_3	GOV_bin_1505_contig-100_3.windows.csv.gz	4	2617	11434	1457
GOV_bin_1508_contig-100_1	GOV_bin_1508_contig-100_1.windows.csv.gz	12	7193	35055	4717
GOV_bin_1508_contig-100_2	GOV_bin_1508_contig-100_2.windows.csv.gz	4	2365	14543	1412
GOV_bin_1508_contig-100_4	GOV_bin_1508_contig-100_4.windows.csv.gz	2	1428	10063	1900
GOV_bin_1509_contig-100_0	GOV_bin_1509_contig-100_0.windows.csv.gz	2	4409	17728	3524
GOV_bin_1529_contig-100_6	GOV_bin_1529_contig-100_6.windows.csv.gz	6	4256	11082	657
GOV_bin_1533_contig-100_1	GOV_bin_1533_contig-100_1.windows.csv.gz	0	0	10638	1598
GOV_bin_1544_contig-100_3	GOV_bin_1544_contig-100_3.windows.csv.gz	7	4274	14482	5077
GOV_bin_1580_contig-100_1	GOV_bin_1580_contig-100_1.windows.csv.gz	3	2504	10240	427
GOV_bin_1596_contig-100_0	GOV_bin_1596_contig-100_0.windows.csv.gz	4	2145	13284	1767
GOV_bin_1607_contig-100_0	GOV_bin_1607_contig-100_0.windows.csv.gz	6	2217	14124	435
GOV_bin_1607_contig-100_1	GOV_bin_1607_contig-100_1.windows.csv.gz	4	3011	14028	529
GOV_bin_16591_contig-100_0	GOV_bin_16591_contig-100_0.windows.csv.gz	3	3322	16051	978
GOV_bin_16591_contig-100_1	GOV_bin_16591_contig-100_1.windows.csv.gz	5	3234	13607	436
GOV_bin_1672_contig-100_9	GOV_bin_1672_contig-100_9.windows.csv.gz	4	2121	10851	1716
GOV_bin_1738_contig-100_0	GOV_bin_1738_contig-100_0.windows.csv.gz	4	7395	21716	2820
GOV_bin_1738_contig-100_1	GOV_bin_1738_contig-100_1.windows.csv.gz	2	2208	10801	4288
GOV_bin_1745_contig-100_0	GOV_bin_1745_contig-100_0.windows.csv.gz	4	4269	17028	6515
GOV_bin_1763_contig-100_0	GOV_bin_1763_contig-100_0.windows.csv.gz	6	4152	21888	5022
GOV_bin_1772_contig-100_0	GOV_bin_1772_contig-100_0.windows.csv.gz	5	4096	18013	710
GOV_bin_1772_contig-100_1	GOV_bin_1772_contig-100_1.windows.csv.gz	6	3302	15586	934
GOV_bin_1784_contig-100_15	GOV_bin_1784_contig-100_15.windows.csv.gz	0	0	10576	380
GOV_bin_1784_contig-100_9	GOV_bin_1784_contig-100_9.windows.csv.gz	3	1190	14610	541
GOV_bin_1797_contig-100_2	GOV_bin_1797_contig-100_2.windows.csv.gz	2	781	16675	568
GOV_bin_1823_contig-100_3	GOV_bin_1823_contig-100_3.windows.csv.gz	2	1164	13864	873
GOV_bin_1841_contig-100_1	GOV_bin_1841_contig-100_1.windows.csv.gz	3	3227	11460	2014
GOV_bin_1865_contig-100_0	GOV_bin_1865_contig-100_0.windows.csv.gz	18	11782	42526	4355
GOV_bin_1874_contig-100_7	GOV_bin_1874_contig-100_7.windows.csv.gz	1	6	11096	286
GOV_bin_1878_contig-100_1	GOV_bin_1878_contig-100_1.windows.csv.gz	3	2367	14105	3661
GOV_bin_1924_contig-100_1	GOV_bin_1924_contig-100_1.windows.csv.gz	7	3914	13153	2431
GOV_bin_1924_contig-100_2	GOV_bin_1924_contig-100_2.windows.csv.gz	4	3039	12431	1362
GOV_bin_1956_contig-100_0	GOV_bin_1956_contig-100_0.windows.csv.gz	5	5095	17826	2214
GOV_bin_1996_contig-100_0	GOV_bin_1996_contig-100_0.windows.csv.gz	4	1548	11515	667
GOV_bin_2026_contig-100_14	GOV_bin_2026_contig-100_14.windows.csv.gz	7	3409	14937	2797
GOV_bin_2026_contig-100_19	GOV_bin_2026_contig-100_19.windows.csv.gz	2	1842	12977	2172
GOV_bin_2026_contig-100_21	GOV_bin_2026_contig-100_21.windows.csv.gz	4	921	12516	4525
GOV_bin_2062_contig-100_0	GOV_bin_2062_contig-100_0.windows.csv.gz	2	456	11882	375
GOV_bin_2062_contig-100_1	GOV_bin_2062_contig-100_1.windows.csv.gz	1	1039	10542	502
GOV_bin_2082_contig-100_0	GOV_bin_2082_contig-100_0.windows.csv.gz	2	489	26081	5058
GOV_bin_2082_contig-100_1	GOV_bin_2082_contig-100_1.windows.csv.gz	3	1167	16304	1673
GOV_bin_2082_contig-100_10	GOV_bin_2082_contig-100_10.windows.csv.gz	1	4682	11962	3087
GOV_bin_2082_contig-100_3	GOV_bin_2082_contig-100_3.windows.csv.gz	1	684	15822	1553
GOV_bin_2082_contig-100_4	GOV_bin_2082_contig-100_4.windows.csv.gz	2	807	15607	2433
GOV_bin_2082_contig-100_8	GOV_bin_2082_contig-100_8.windows.csv.gz	1	255	12362	1030
GOV_bin_2082_contig-100_9	GOV_bin_2082_contig-100_9.windows.csv.gz	1	358	12094	1426
GOV_bin_2107_contig-100_0	GOV_bin_2107_contig-100_0.windows.csv.gz	2	1791	62734	3042
GOV_bin_2107_contig-100_1	GOV_bin_2107_contig-100_1.windows.csv.gz	0	0	57613	2894
GOV_bin_2107_contig-100_5	GOV_bin_2107_contig-100_5.windows.csv.gz	1	548	24296	1098
GOV_bin_2113_contig-100_4	GOV_bin_2113_contig-100_4.windows.csv.gz	3	3028	10840	769
GOV_bin_2140_contig-100_0	GOV_bin_2140_contig-100_0.windows.csv.gz	12	5691	27100	1618
GOV_bin_2140_contig-100_1	GOV_bin_2140_contig-100_1.windows.csv.gz	5	5607	15004	1083
GOV_bin_2141_contig-100_1	GOV_bin_2141_contig-100_1.windows.csv.gz	5	5616	16760	14040
GOV_bin_2147_contig-100_3	GOV_bin_2147_contig-100_3.windows.csv.gz	10	6284	23397	1200
GOV_bin_2151_contig-100_3	GOV_bin_2151_contig-100_3.windows.csv.gz	1	858	10398	353
GOV_bin_2158_contig-100_6	GOV_bin_2158_contig-100_6.windows.csv.gz	2	840	14728	535
GOV_bin_2194_contig-100_3	GOV_bin_2194_contig-100_3.windows.csv.gz	8	3547	20950	947
GOV_bin_2194_contig-100_8	GOV_bin_2194_contig-100_8.windows.csv.gz	3	1833	12246	481
GOV_bin_2232_contig-100_1	GOV_bin_2232_contig-100_1.windows.csv.gz	5	6416	18396	3091
GOV_bin_2267_contig-100_0	GOV_bin_2267_contig-100_0.windows.csv.gz	4	1884	18346	3752
GOV_bin_2290_contig-100_1	GOV_bin_2290_contig-100_1.windows.csv.gz	4	1352	11286	1879
GOV_bin_2294_contig-100_0	GOV_bin_2294_contig-100_0.windows.csv.gz	3	2029	13004	1067
GOV_bin_2298_contig-100_0	GOV_bin_2298_contig-100_0.windows.csv.gz	1	271	12985	2004
GOV_bin_2318_contig-100_0	GOV_bin_2318_contig-100_0.windows.csv.gz	14	5844	55294	5154
GOV_bin_2318_contig-100_1	GOV_bin_2318_contig-100_1.windows.csv.gz	7	3978	33060	3481
GOV_bin_2318_contig-100_2	GOV_bin_2318_contig-100_2.windows.csv.gz	7	3127	18931	1978
GOV_bin_2318_contig-100_4	GOV_bin_2318_contig-100_4.windows.csv.gz	0	0	10074	1596
GOV_bin_2341_contig-100_1	GOV_bin_2341_contig-100_1.windows.csv.gz	4	2444	18840	1250
GOV_bin_2341_contig-100_2	GOV_bin_2341_contig-100_2.windows.csv.gz	4	3209	10954	557
GOV_bin_2378_contig-100_5	GOV_bin_2378_contig-100_5.windows.csv.gz	3	675	12773	744
GOV_bin_2387_contig-100_0	GOV_bin_2387_contig-100_0.windows.csv.gz	3	2022	14835	836
GOV_bin_2415_contig-100_0	GOV_bin_2415_contig-100_0.windows.csv.gz	4	3789	21635	902
GOV_bin_2415_contig-100_1	GOV_bin_2415_contig-100_1.windows.csv.gz	0	0	18460	1636
GOV_bin_2415_contig-100_2	GOV_bin_2415_contig-100_2.windows.csv.gz	1	843	12872	2990
GOV_bin_2415_contig-100_4	GOV_bin_2415_contig-100_4.windows.csv.gz	2	1088	10922	932
GOV_bin_242_contig-100_11	GOV_bin_242_contig-100_11.windows.csv.gz	3	3610	11215	554
GOV_bin_2426_contig-100_0	GOV_bin_2426_contig-100_0.windows.csv.gz	1	444	42671	2669
GOV_bin_2426_contig-100_1	GOV_bin_2426_contig-100_1.windows.csv.gz	5	1831	14573	768
GOV_bin_2435_contig-100_5	GOV_bin_2435_contig-100_5.windows.csv.gz	4	3651	10267	713
GOV_bin_2447_contig-100_2	GOV_bin_2447_contig-100_2.windows.csv.gz	4	4078	13461	9917
GOV_bin_2486_contig-100_0	GOV_bin_2486_contig-100_0.windows.csv.gz	5	8997	25894	2433
GOV_bin_2581_contig-100_0	GOV_bin_2581_contig-100_0.windows.csv.gz	3	1595	13390	503
GOV_bin_2639_contig-100_0	GOV_bin_2639_contig-100_0.windows.csv.gz	5	3396	23829	1152
GOV_bin_2639_contig-100_1	GOV_bin_2639_contig-100_1.windows.csv.gz	5	5664	14876	542
GOV_bin_2639_contig-100_2	GOV_bin_2639_contig-100_2.windows.csv.gz	2	2437	14787	941
GOV_bin_2639_contig-100_3	GOV_bin_2639_contig-100_3.windows.csv.gz	2	1032	14256	691
GOV_bin_2639_contig-100_4	GOV_bin_2639_contig-100_4.windows.csv.gz	1	303	11881	594
GOV_bin_2639_contig-100_5	GOV_bin_2639_contig-100_5.windows.csv.gz	2	1191	10358	487
GOV_bin_2644_contig-100_2	GOV_bin_2644_contig-100_2.windows.csv.gz	2	2452	10776	3698
GOV_bin_2644_contig-100_3	GOV_bin_2644_contig-100_3.windows.csv.gz	1	1423	10373	544
GOV_bin_2648_contig-100_5	GOV_bin_2648_contig-100_5.windows.csv.gz	0	0	12437	301
GOV_bin_2679_contig-100_1	GOV_bin_2679_contig-100_1.windows.csv.gz	4	4542	13162	1910
GOV_bin_2714_contig-100_1	GOV_bin_2714_contig-100_1.windows.csv.gz	3	1863	13473	934
GOV_bin_2725_contig-100_0	GOV_bin_2725_contig-100_0.windows.csv.gz	3	746	14245	1180
GOV_bin_2746_contig-100_12	GOV_bin_2746_contig-100_12.windows.csv.gz	1	91	10922	527
GOV_bin_2746_contig-100_14	GOV_bin_2746_contig-100_14.windows.csv.gz	2	803	10645	312
GOV_bin_2748_contig-100_0	GOV_bin_2748_contig-100_0.windows.csv.gz	3	1110	13065	967
